1,0,0,0,0,1,0,0,0,0,1,0,3,0,20,1|
1,0,0,0,0,1,0,0,0,0,1,0,1.3,0,20,1|
0.209239,0,-0.977866,0,0,1,0,0,0.977866,0,0.209239,0,0.264409,0,20.9067,1|
0.209239,0,-0.977866,0,0,1,0,0,0.977866,0,0.209239,0,-0.116407,0,22.6865,1|
-0.752858,0,0.658189,0,0,1,0,0,-0.658189,0,-0.752858,0,1.52398,0,23.5708,1|
-0.712036,0,0.702149,0,0,1,0,0,-0.702149,0,-0.712036,0,3.02009,0,22.0971,1|
0.147077,0,0.989134,0,0,1,0,0,-0.989134,0,0.147077,0,0.797562,0,19.5769,1|
0.788043,0,0.615635,0,0,1,0,0,-0.615635,0,0.788043,0,0.198285,0,18.4011,1|
-0.5021,0,-0.864824,0,0,1,0,0,0.864824,0,-0.5021,0,-1.08126,0,19.8195,1|
-0.544325,0,0.838891,0,0,1,0,0,-0.838891,0,-0.544325,0,0.41138,0,19.6468,1|
